,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,SPY,SPY,SPY,SPY,SPY,SPY,ticker
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,
Date,,,,,,,,,,,,,
2021-09-10,155.0,155.47999572753906,148.6999969482422,148.97000122070312,148.97000122070312,140646400,451.0400085449219,451.489990234375,445.30999755859375,445.44000244140625,445.44000244140625,89848000,SPY AAPL
2021-09-13,150.6300048828125,151.41000366210938,148.75,149.5500030517578,149.5500030517578,97750498,448.6400146484375,448.9110107421875,444.1099853515625,446.5799865722656,446.5799865722656,81997825,SPY AAPL
